Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки трикотажные%6 пар%%6%2%12%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Очки защитные открытые%до износа%%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Щиток защитный лицевой% до износа%%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Респиратор противогазоаэрозольный%до износа%%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Жилет сигнальный 2 класса защиты%4%%4%12%48%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки диэлектрические %дежурные%При выполнении  работ  электроинструментом дополнительно:%%%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Рукавицы виброзащитные%до износа%При выполнении  работ виброинструментом дополнительно:%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки виброзащитные%до износа%При выполнении  работ виброинструментом дополнительно:%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Костюм для защиты от механических воздействий, воды и щелочей  %до износа%При  выполнении работ по погрузке и выгрузке шпал, пропитанных антисептиками, дополнительно:%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки с полимерным покрытием%до износа%При  выполнении работ по погрузке и выгрузке шпал, пропитанных антисептиками, дополнительно:%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки с полимерным покрытием%до износа%При  выполнении  работ по водоборьбе,  очистке подкюветных дренажей, прорезей, галерей, штолен, лотков  и ремонту пути на пунктах погрузки соли дополнительно:%1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Сапоги из поливинилхлоридного пластиката%1 пара%При  выполнении  работ по водоборьбе,  очистке подкюветных дренажей, прорезей, галерей, штолен, лотков  и ремонту пути на пунктах погрузки соли дополнительно:%1%12%12%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Каска защитнаяс фонарем шахтерским%1 на 2 года%При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: %1%24%24%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Наушники противошумные%до износа%При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: %1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Сапоги резиновые%1 пара%При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: %1%12%12%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Сапоги резиновыерыбацкие%1 пара%При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: %1%12%12%
